Scenario,GroundTruth,AI_Prob,Conflict,Triage
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
A_Carrier,Viral,0.7085562671685525,0.872,Pattern C: Silent Danger
B_NSAID,GAS,0.7234531630949056,0.739,Pattern C: Silent Danger
B_NSAID,GAS,0.7234531630949056,0.739,Pattern C: Silent Danger
